source,feature,feature_group,status,reason,exists_in_df_engineered,exists_in_v2_preview,exists_in_clean_dataset
clean_dataset.csv,order_id,other,query_or_audit_only,ใช้ join/query/audit ได้ แต่ไม่ส่งให้ model จำ identity โดยตรง,False,False,
clean_dataset.csv,order_date,time,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered feature อื่น,False,False,
clean_dataset.csv,expected_delivery_date,logistics,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered feature อื่น,False,False,
clean_dataset.csv,delivery_date,logistics,dropped,เป็น post-event/leakage field จึงตัดออกเพื่อกันข้อมูลอนาคต,False,False,
clean_dataset.csv,customer_id,other,query_or_audit_only,ใช้ join/query/audit ได้ แต่ไม่ส่งให้ model จำ identity โดยตรง,False,False,
clean_dataset.csv,customer_name,other,query_or_audit_only,ใช้ join/query/audit ได้ แต่ไม่ส่งให้ model จำ identity โดยตรง,False,False,
clean_dataset.csv,customer_phone,other,query_or_audit_only,ใช้ join/query/audit ได้ แต่ไม่ส่งให้ model จำ identity โดยตรง,False,False,
clean_dataset.csv,gender,customer_profile,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,age,customer_profile,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,membership_tier,customer_profile,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,preferred_channel,payment_channel,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered feature อื่น,False,False,
clean_dataset.csv,province,customer_profile,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,registration_date,time,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered feature อื่น,False,False,
clean_dataset.csv,customer_age_days,customer_profile,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,product_id,product_category,query_or_audit_only,ใช้ join/query/audit ได้ แต่ไม่ส่งให้ model จำ identity โดยตรง,False,False,
clean_dataset.csv,product_name,product_category,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered feature อื่น,False,False,
clean_dataset.csv,category,product_category,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,brand,product_category,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,is_fragile,product_category,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered feature อื่น,False,False,
clean_dataset.csv,product_rating,product_category,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,supplier_id,other,query_or_audit_only,ใช้ join/query/audit ได้ แต่ไม่ส่งให้ model จำ identity โดยตรง,False,False,
clean_dataset.csv,supplier_name,other,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered feature อื่น,False,False,
clean_dataset.csv,supplier_contact,other,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered feature อื่น,False,False,
clean_dataset.csv,courier_id,logistics,query_or_audit_only,ใช้ join/query/audit ได้ แต่ไม่ส่งให้ model จำ identity โดยตรง,False,False,
clean_dataset.csv,courier_name,logistics,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,courier_type,logistics,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,avg_delivery_days,logistics,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,damage_rate,logistics,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,coverage_region,customer_profile,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered feature อื่น,False,False,
clean_dataset.csv,promo_id,promotion_discount,query_or_audit_only,ใช้ join/query/audit ได้ แต่ไม่ส่งให้ model จำ identity โดยตรง,False,False,
clean_dataset.csv,promo_name,promotion_discount,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,promo_type,promotion_discount,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,promo_discount_rate,promotion_discount,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,promo_start_date,promotion_discount,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered feature อื่น,False,False,
clean_dataset.csv,promo_end_date,promotion_discount,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered feature อื่น,False,False,
clean_dataset.csv,channel_type,payment_channel,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,payment_method,payment_channel,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,quantity,price_amount,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,unit_price,price_amount,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,tier_discount_pct,promotion_discount,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,campaign_discount_pct,promotion_discount,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,total_discount_pct,promotion_discount,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,discount_applied_amount,promotion_discount,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,total_amount,price_amount,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,delivery_time_expected_days,logistics,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,delivery_days,logistics,dropped,เป็น post-event/leakage field จึงตัดออกเพื่อกันข้อมูลอนาคต,False,True,
clean_dataset.csv,delay_days,logistics,dropped,เป็น post-event/leakage field จึงตัดออกเพื่อกันข้อมูลอนาคต,False,True,
clean_dataset.csv,is_repurchased_item,other,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,order_hour,time,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,days_since_last_order,customer_history,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,hist_order_count,customer_history,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,hist_return_rate,customer_history,used_exact,ใช้เข้า model โดยตรง,True,True,
clean_dataset.csv,return_id,other,dropped,เป็น post-event/leakage field จึงตัดออกเพื่อกันข้อมูลอนาคต,False,False,
