no,insight,source_chart,copied_chart,chart_found,business_insight,reason_selected,mapped_features,model_or_business_action
1,Customer return history,reports\Graph Item\eda_customer_history.png,docs\analysis\business_insight_selected_charts\01_customer_return_history.png,True,ประวัติการคืนของลูกค้าเป็นสัญญาณหลักของ return-risk เพราะสะท้อนพฤติกรรมซ้ำรายบุคคล,เลือกเพราะเชื่อมกับโจทย์ order ที่ 3 โดยใช้ order ก่อนหน้าเท่านั้น เช่น 1/2 = 0.5,"hist_order_count, hist_return_rate, customer_return_ratio, cust_return_rate_30d, cust_return_rate_180d",ใช้จัดระดับความเสี่ยงก่อนยืนยันหรือจัดส่ง และใช้ทำ Feature Store รายลูกค้า
2,Category and payment interaction,reports\Graph Item\cross_chart_category_payment.png,docs\analysis\business_insight_selected_charts\02_category_and_payment_interaction.png,True,สินค้าบาง category เมื่อจับคู่กับ payment method บางแบบมี return rate สูงกว่าเฉลี่ย,เลือกเพราะช่วยให้ model เห็น interaction ไม่ใช่ดู category หรือ payment แบบแยกกัน,"category, payment_method, category_payment, is_cod",ใช้เพิ่ม rule/feature สำหรับ COD หรือ category ที่เสี่ยงสูง
3,Category and channel interaction,reports\Graph Item\cross_chart_category_channel.png,docs\analysis\business_insight_selected_charts\03_category_and_channel_interaction.png,True,ช่องทางขายบางช่องทำให้ความเสี่ยงต่างกัน แม้เป็นสินค้าหมวดเดียวกัน,เลือกเพราะ channel สะท้อนพฤติกรรมซื้อและความตั้งใจซื้อ เช่น TV/TikTok/App,"category, channel_type, category_channel, preferred_channel",ใช้จัด workflow confirm order แยกตาม channel
4,Province and payment risk,reports\Graph Item\cross_chart_province_payment.png,docs\analysis\business_insight_selected_charts\04_province_and_payment_risk.png,True,พื้นที่และ payment method มีผลร่วมกับ risk จาก logistics และพฤติกรรมชำระเงิน,เลือกเพราะ province เป็นตัวแทน operational context เช่น พื้นที่ไกลหรือพื้นที่มีปัญหาคืนสูง,"province, payment_method, province_payment",ใช้ให้ทีม operation เฝ้ากลุ่มจังหวัด/ช่องทางชำระเงินที่มี risk สูง
5,Product rating threshold,docs\version 2\reports\eda_v2\v2_rating_threshold.png,docs\analysis\business_insight_selected_charts\05_product_rating_threshold.png,True,rating ต่ำมีความสัมพันธ์กับโอกาสคืนสินค้า เพราะสะท้อนคุณภาพสินค้าและความคาดหวังลูกค้า,เลือกเพราะสร้าง feature binary ได้ง่ายและอธิบายเชิงธุรกิจชัด,"product_rating, low_rating_alert",ใช้ flag สินค้าที่ควรตรวจคุณภาพหรือให้ข้อมูลสินค้าเพิ่มก่อนขาย
6,Promotion and discount behavior,docs\version 2\reports\eda_v2\v2_promotion_pattern.png,docs\analysis\business_insight_selected_charts\06_promotion_and_discount_behavior.png,True,discount/promotion สูงอาจดึงดูด impulse purchase และเพิ่มโอกาสคืน,เลือกเพราะมีข้อมูลก่อน order เข้าและใช้กับ real-time scoring ได้,"promo_type, promo_discount_rate, total_discount_pct, discount_amount_ratio, is_high_discount",ใช้แยก order ที่เกิดจาก promotion แรงเพื่อประเมิน risk เพิ่ม
7,Price and basket amount,docs\version 2\reports\eda_v2\v2_price_pattern.png,docs\analysis\business_insight_selected_charts\07_price_and_basket_amount.png,True,ราคา จำนวน และยอดรวม order สะท้อนแรงจูงใจและผลกระทบด้าน cost,เลือกเพราะเป็นข้อมูลพื้นฐานที่รู้ตอน order เข้าและสัมพันธ์กับ expected loss,"unit_price, quantity, total_amount, log_unit_price, log_total_amount",ใช้ประกอบ threshold/cost matrix เมื่อ order มูลค่าสูง
8,Logistics expected risk,reports\Graph Item\eda_logistics_expected.png,docs\analysis\business_insight_selected_charts\08_logistics_expected_risk.png,True,เวลา delivery ที่คาดไว้ courier และ damage rate ช่วยบอกความเสี่ยงก่อนเกิดการส่งจริง,เลือกเฉพาะ feature ที่รู้ก่อนส่งสินค้า ส่วน delivery_days/delay_days เป็น post-event ต้องแยกใช้,"courier_type, avg_delivery_days, delivery_time_expected_days, damage_rate, logistics_risk",ใช้กับ order-time model โดยไม่ใช้ข้อมูลอนาคต
9,Repurchase behavior,reports\Graph Relation Feature\relation_repurchase_risk.png,docs\analysis\business_insight_selected_charts\09_repurchase_behavior.png,True,การซื้อซ้ำสินค้าหรือหมวดเดิมช่วยบอก familiarity และลด/เพิ่มความเสี่ยงตามพฤติกรรม,เลือกเพราะเป็น signal ที่คำนวณจาก history ลูกค้าได้แบบ point-in-time,"is_repurchased_item, days_since_last_order",ใช้ประกอบ customer history เพื่อประเมินความมั่นใจของ order ใหม่
10,Order time and weekend,reports\Graph Item\eda_hour_trend.png,docs\analysis\business_insight_selected_charts\10_order_time_and_weekend.png,True,ชั่วโมงสั่งซื้อและ weekend สะท้อนบริบทการซื้อ เช่น impulse หรือ campaign traffic,เลือกเพราะต้นทุน query ต่ำและรู้ได้ทันทีตอน order เข้า,"order_hour, order_dayofweek, is_weekend",ใช้เป็น feature เสริม ไม่ควรเป็นตัวหลักถ้า performance ไม่เพิ่ม
